Time,Duty_cycle,Velocity_current,Acceleration_current,Brake_enabled,Motor1_ADC_Voltage_mV,Load_ADC_Voltage_mV
0.350,-0.00,-0.07,-0.02,0,17,17
0.377,0.00,-0.02,-0.00,0,17,17
0.401,0.00,-0.03,-0.00,0,17,17
0.425,0.00,-0.02,-0.00,0,17,17
0.449,0.00,0.02,0.01,0,17,17
0.473,0.00,-0.06,-0.01,0,17,17
0.497,0.00,-0.01,0.00,0,17,17
0.521,0.00,-0.01,0.00,0,17,17
0.545,0.00,0.03,0.01,0,17,17
0.569,0.00,-0.00,0.00,0,17,17
0.593,0.00,-0.04,-0.01,0,17,17
0.617,0.00,-0.04,-0.01,0,17,17
0.641,0.00,-0.04,-0.01,0,17,17
0.665,0.00,-0.00,0.00,0,17,17
0.689,0.00,-0.00,0.00,0,17,17
0.713,0.00,-0.01,-0.00,0,17,17
0.737,0.00,-0.01,-0.00,0,17,17
0.761,0.00,0.04,0.01,0,17,17
0.785,0.00,-0.04,-0.01,0,17,17
0.809,0.00,0.04,0.01,0,17,17
0.833,0.00,0.03,0.01,0,17,17
0.857,0.00,0.05,0.02,0,17,17
0.881,0.00,-0.04,-0.01,0,17,17
0.905,0.00,-0.01,-0.00,0,17,17
0.929,0.00,-0.01,-0.00,0,17,17
0.953,0.00,0.03,0.01,0,17,17
0.977,0.00,-0.00,-0.00,0,17,17
1.001,0.00,-0.01,-0.01,0,17,17
1.025,0.00,-0.05,-0.01,0,17,17
1.049,0.00,-0.01,-0.00,0,17,17
1.073,0.00,0.04,0.01,0,17,17
1.097,0.00,-0.01,-0.01,0,17,17
1.121,0.00,0.03,0.01,0,17,17
1.145,0.00,0.03,0.01,0,17,17
1.169,0.00,0.00,0.00,0,17,17
1.193,0.00,0.03,0.01,0,17,17
1.217,0.00,-0.01,-0.00,0,17,17
1.241,0.00,-0.01,-0.01,0,18,17
1.265,0.00,-0.05,-0.01,0,17,17
1.289,0.00,-0.05,-0.01,0,17,17
1.313,0.00,-0.01,-0.00,0,17,17
1.337,0.00,-0.04,-0.01,0,17,17
1.361,0.00,-0.05,-0.01,0,17,17
1.385,0.00,-0.00,0.00,0,17,17
1.409,0.00,0.01,0.01,0,17,17
1.433,0.00,0.00,0.00,0,17,17
1.457,0.00,0.01,0.00,0,18,17
1.481,0.00,0.05,0.01,0,17,17
1.505,0.00,0.00,0.00,0,17,17
1.529,0.00,0.00,0.00,0,17,17
1.553,0.00,0.00,0.00,0,17,17
1.577,0.00,0.04,0.01,0,17,17
1.601,0.00,-0.01,-0.01,0,17,17
1.625,0.00,-0.00,-0.00,0,17,17
1.649,0.00,-0.01,-0.01,0,17,17
1.673,0.00,-0.05,-0.02,0,17,17
1.697,0.00,-0.01,-0.01,0,17,17
1.721,0.00,-0.02,-0.01,0,17,17
1.745,0.00,0.03,0.01,0,17,17
1.769,0.00,-0.00,0.00,0,17,17
1.793,0.00,-0.00,0.00,0,17,17
1.817,0.00,-0.00,0.00,0,18,17
1.841,0.00,-0.01,-0.00,0,17,17
1.865,0.00,0.03,0.01,0,17,17
1.889,0.00,-0.01,-0.01,0,18,17
1.913,0.00,-0.01,-0.00,0,17,17
1.937,0.00,-0.00,0.00,0,17,17
1.961,0.00,-0.00,0.00,0,17,17
1.985,0.00,-0.01,-0.00,0,17,17
2.009,0.00,0.03,0.01,0,17,17
2.033,0.00,-0.01,-0.00,0,17,17
2.057,0.00,-0.05,-0.01,0,17,17
2.081,0.00,0.00,0.00,0,17,17
2.105,0.00,0.01,0.01,0,17,17
2.129,0.00,0.01,0.01,0,17,17
2.153,0.00,0.01,0.00,0,17,17
2.177,0.00,-0.03,-0.01,0,17,17
2.201,0.00,0.05,0.02,0,17,17
2.225,0.00,0.02,0.01,0,17,17
2.249,0.00,-0.04,-0.01,0,17,17
2.273,0.00,0.04,0.01,0,17,17
2.297,0.00,0.00,-0.00,0,17,17
2.321,0.00,-0.04,-0.01,0,17,17
2.345,0.00,-0.04,-0.01,0,17,17
2.369,0.00,-0.01,-0.00,0,17,17
2.393,0.00,-0.01,-0.00,0,17,17
2.417,0.00,0.04,0.01,0,17,17
2.441,0.00,-0.04,-0.01,0,17,17
2.465,0.00,-0.00,-0.00,0,17,17
2.489,0.00,-0.01,-0.01,0,18,17
2.513,0.00,-0.01,-0.00,0,17,17
2.537,0.00,-0.01,-0.00,0,17,17
2.561,0.00,-0.05,-0.01,0,18,17
2.585,0.00,-0.00,0.00,0,17,17
2.609,0.00,-0.01,-0.00,0,18,17
